term,1550-1600,1650-1700,1700-1750,1750-1800,1800-1850
vezi,True,False,True,False,True
dezlegat,True,False,True,False,False
noao,True,False,True,False,True
patru,True,False,True,False,False
porți,True,False,True,False,False
ni,True,False,True,True,False
iubirea,True,False,True,False,False
tru,True,False,True,True,False
v_au,False,False,True,False,True
tine,True,False,True,True,False
strigînd,False,False,True,False,True
tura,True,False,False,True,False
scoaseră,True,False,True,False,False
mare,True,False,True,True,True
gătit,True,False,False,False,True
ținuți,True,False,True,False,False
foame,True,False,False,False,True
rumîni,True,False,False,False,True
sfntului,True,False,True,False,False
alexandru,False,False,True,False,True
altele,False,False,True,False,True
treia,True,False,True,False,False
miei,True,False,True,False,True
slăvită,False,False,True,False,True
cei,True,False,True,True,True
bune,True,False,True,True,True
vîrtos,True,False,True,True,True
iaște,True,False,True,False,False
obraz,False,False,True,False,True
dăruit,True,False,True,False,False
chi,True,False,True,False,False
întrebare,True,False,True,False,False
rii,False,False,True,True,True
mila,False,False,True,True,False
învățați,True,False,True,False,False
făptura,False,False,True,False,True
credincioase,False,False,True,False,True
acuma,False,False,True,True,False
rîndul,True,False,True,True,False
cumva,True,False,False,True,True
vrut,False,False,True,True,True
despre,False,False,True,False,True
vede,True,False,False,False,True
veți,True,False,True,False,False
sale,True,False,True,False,True
doi,True,False,True,True,False
cîmpie,False,False,False,True,True
fu,True,False,True,False,False
slujască,True,False,False,False,True
tot,True,False,True,True,True
deci,False,False,False,True,True
bunătatea,True,False,True,False,True
cînd,True,False,True,True,True
iași,True,False,True,False,False
domnului,True,False,True,False,False
slo,True,False,True,False,False
viață,True,False,True,False,True
galileiu,True,False,True,False,False
iarăș,False,False,True,False,True
bucu,True,False,True,False,False
rugă,True,False,True,False,False
eu,True,False,True,True,True
așe,False,False,True,False,True
domnul,True,False,True,False,False
ceștii,True,False,True,False,False
noastră,True,False,True,False,False
tremise,True,False,True,False,False
al,True,True,True,True,True
mormînt,False,False,True,False,True
supt,True,False,True,False,False
lui,True,False,True,True,True
ați,True,False,True,False,True
făcut,True,False,True,False,False
dragoste,True,False,True,True,True
ceasul,False,False,True,False,True
nici,True,False,True,True,True
oară,True,False,True,False,False
groaznică,True,False,False,False,True
ar,False,False,True,True,True
vedem,False,False,True,True,True
deade,True,False,True,False,False
tău,True,False,True,True,True
lăsă,True,False,True,False,False
ta,True,False,True,True,False
gura,True,False,True,True,True
minunate,False,False,True,False,True
spue,True,False,True,False,True
vor,True,False,True,False,True
bine,True,False,True,True,False
tărie,True,False,True,False,False
veri,True,False,True,False,False
soarele,True,False,True,False,False
atunci,False,False,True,True,True
be,True,False,True,False,False
cunoaștem,True,False,True,False,False
fapte,True,False,False,False,True
lă,True,False,True,False,False
vreamia,True,False,True,False,False
domn,True,False,True,False,False
acmu,True,False,True,False,False
mi,True,False,True,True,True
părinte,False,False,True,False,True
lăcuiaște,True,False,True,False,False
roagă,False,False,True,False,True
tăriia,True,False,True,False,False
lua,True,False,True,False,False
